VEH_NUMBER,VEH_TYPE,VEH_TEXT,VEH_BRAND,VEH_MODEL,VEH_PATENT,NAME_EFF_DATE,OWNER,REG_OWNER,REG_CNTRY,REG_DATE,VEH_MODE,CLF_EFDT,VEH_STATUS,VEH_ID,LGTUD,ANCHO,ALTURA,CARRIER,CLASS_GRP,WGT_UOM,VOL_UOM
PQY776-1,ZBAR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque vitae metus ante. Integer dictum vulputate tellus et malesuada. Integer eleifend bibendum nulla at laoreet",IVECO,TECTO,AB 141 TO,5/4/2021,PEDRO PEDRAL,PEDRO PEDRAL,AR,5/4/2021,1,5/5/2021,0,622,"60,000","17,000","25,000",14766 - LUIS A CARRIZO Y CIA SRL,14766,45000,37000
PQY888-1,ZBABR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque vitae metus ante. Integer dictum vulputate tellus et malesuada. Integer eleifend bibendum nulla at laoreet",Mercedes Benz,AXOR 2131,AB 412 TO,11/4/2021,MARTIN JERMAN,MARTIN JERMAN,AR,5/4/2021,2,5/5/2021,1,123,"50,000","10,000","20,000",14766 - LUIS A CARRIZO Y CIA SRL,14766,45000,37000
PQK428-1,ZBCL,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque vitae metus ante. Integer dictum vulputate tellus et malesuada. Integer eleifend bibendum nulla at laoreet",Scania,BR21415,AB 612 TO,5/4/2021,EMANUEL ANUEL,EMANUEL ANUEL,AR,5/4/2021,3,5/5/2021,2,521,"70,000","20,000","25,000",14766 - LUIS A CARRIZO Y CIA SRL,14766,45000,37000
864-83-9212,021138039-3,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Volvo,S60,JH4CW2H53BC595188,7/19/2021,Blaine Sked,Leanora Marcham,PL,7/21/2021,1,10/5/2021,1,6041,27.455,6.801,3.486,Consumer Electronics/Appliances,77773,68714,53732
616-11-1368,462464700-9,Ut at dolor quis odio consequat varius. Integer ac leo.,Chevrolet,Camaro,WAUJFAFH8CN684175,7/14/2021,Knox Sobey,Olympie Drew,BR,5/30/2022,5,6/1/2021,1,2669,17.298,25.224,12.099,n/a,51335,38735,11150
241-67-0172,992020943-0,Donec ut dolor.,Infiniti,G35,5N1BA0NC3FN826230,8/6/2020,Judye Dametti,Leoline Houlden,IE,5/9/2021,1,2/7/2022,0,3214,27.22,6.63,10.761,n/a,19953,8917,39273
724-59-7888,025905697-9,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Ford,Crown Victoria,WAUMF78K09N914891,11/18/2020,Marlo Andreolli,Karlene Walshe,CN,1/17/2021,1,1/25/2021,0,1989,16.782,20.806,21.495,Major Banks,5499,68459,20218
491-18-7709,199872696-7,Pellentesque eget nunc.,Nissan,Sentra,5TFBW5F13BX603037,3/1/2022,Ludvig Sabine,Johnette Caverhill,CN,4/25/2021,5,12/10/2021,2,1280,15.723,23.357,10.837,Computer Software: Prepackaged Software,20460,49240,43890
350-04-8568,734450400-6,Morbi non lectus.,Porsche,Panamera,WBANV13569B510503,5/12/2022,Ezequiel Petyt,Hatty Fullman,VE,8/11/2021,1,4/20/2021,1,5503,9.482,0.446,26.265,n/a,6383,83660,17208
589-84-5725,396150778-3,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Chevrolet,Tracker,1GYS3GEF9BR993156,12/7/2020,Anne-marie Shayler,Ario Snowden,FR,12/11/2021,3,8/31/2021,2,1360,10.657,1.273,21.336,Biotechnology: In Vitro & In Vivo Diagnostic Substances,75240,48850,67689
220-24-4919,599984154-2,In eleifend quam a odio. In hac habitasse platea dictumst.,Toyota,Avalon,1N6AD0CW1EN219534,9/28/2020,Rhodie Smeal,Mab Rubinov,TZ,5/18/2022,3,8/20/2021,2,8375,17.975,25.797,5.882,Computer Software: Prepackaged Software,42,74949,92444
240-94-1037,622416220-4,Vivamus tortor. Duis mattis egestas metus.,Ford,E-350 Super Duty Van,WBSBR93492E530161,9/2/2020,Sella Callingham,Eran Sacker,ID,1/26/2021,2,1/4/2021,2,4531,21.714,7.347,28.801,Oil & Gas Production,96529,6458,82456
546-62-1360,481778509-8,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Nissan,Pathfinder,JA32X2HU5BU816655,6/1/2022,Simona Sheering,Cristy Reddle,PT,12/4/2020,4,8/4/2020,2,4722,24.414,22.332,20.055,n/a,91601,75660,45342
244-76-4580,214382362-2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Chevrolet,Astro,1G4GH5G34CF415937,10/12/2021,Leeland Neissen,Duky Bracer,BR,10/11/2021,5,9/30/2020,2,5885,20.883,29.175,5.165,Biotechnology: Biological Products (No Diagnostic Substances),48082,40857,23432
547-86-5583,868920266-8,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Plymouth,Acclaim,WAUJC58E43A244819,2/13/2021,Agosto Badder,West Pick,BR,3/9/2022,2,1/16/2021,2,9402,27.941,3.86,24.152,n/a,32014,28320,23166
355-85-2365,043366765-6,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Volkswagen,CC,WA1LMAFE5FD915075,5/12/2021,Bertina Bougourd,Jeth Jerschke,SE,12/13/2020,5,11/11/2020,1,6363,28.055,0.312,2.25,Professional Services,30241,22383,10727
343-09-2601,613323361-3,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Volvo,960,KNAGM4A70B5254042,1/28/2022,Cacilia Casbourne,Kevyn Farquharson,KR,11/3/2021,2,1/25/2022,0,9976,25.981,0.938,21.796,Specialty Insurers,74628,8819,23895
236-26-3541,635426142-3,Proin interdum mauris non ligula pellentesque ultrices.,Ford,E-Series,WAUDF98E18A296492,8/19/2021,Benedetto Lathwell,Sophey Gilderoy,CN,10/27/2020,4,3/2/2022,1,4516,20.906,24.157,16.947,n/a,3852,84358,20114
297-89-6275,556307283-5,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Saab,3-Sep,1N6BF0KM7FN761219,11/22/2021,Ailyn Fieldsend,Issiah Hender,BR,9/7/2021,4,6/2/2022,2,5937,29.786,19.06,23.961,Biotechnology: Biological Products (No Diagnostic Substances),13431,278,55193
721-68-9711,652873795-9,Praesent blandit. Nam nulla.,Honda,Element,3C63D3FL2CG789537,5/30/2022,Taddeusz Sexcey,Alyosha Chittie,PH,10/28/2021,2,10/10/2021,1,7202,24.504,7.553,18.829,Electric Utilities: Central,46686,1560,41024
197-51-9462,062157171-7,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Ford,F-Series,WA1CKBFP9AA891807,11/4/2020,Rheta Hrinishin,Sibylle Casari,TH,9/4/2020,2,10/24/2021,0,2680,9.198,19.202,20.038,Oil & Gas Production,46035,5487,77482
369-83-1620,928882213-5,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Chevrolet,Express 1500,1FTSW2B53AE520514,4/30/2022,Roz Rainsdon,Hedi McLauchlin,CZ,11/10/2020,3,3/25/2022,0,5431,18.531,0.92,3.32,Agricultural Chemicals,18245,97488,4972
110-39-3225,569479006-5,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Pontiac,Sunfire,WAUKH98E26A983821,1/27/2022,Ky Heatlie,Kizzie Garlicke,BW,2/4/2022,5,3/25/2021,2,3989,17.919,4.584,28.366,Auto Parts:O.E.M.,30634,82503,24888
184-53-6000,926881793-4,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Nissan,Pathfinder,1G6DK8EY8B0800396,12/29/2021,Anastasia Yakobovitz,Rolland Furtado,ID,7/30/2021,1,11/26/2021,0,1445,6.359,13.729,10.221,Real Estate,81003,44441,10545
775-88-7100,912195593-X,Morbi a ipsum. Integer a nibh.,Nissan,NV3500,3D7TT2CT7AG555679,12/3/2021,Sophie Mostyn,Lionello Lionel,BR,1/18/2022,4,1/25/2021,2,3742,3.427,27.123,27.182,Advertising,79390,18551,68231
330-88-2001,874660037-X,Nullam porttitor lacus at turpis.,Ford,F-Series,5FRYD3H66FB684028,4/15/2022,Dorella Saphir,Zane Upjohn,GE,2/16/2021,5,9/29/2021,1,4559,9.272,20.812,21.775,Engineering & Construction,13452,57884,69464
